Gene,Importance
216571_at,0.056622144
CCL4,0.051236596
RBP7,0.03633031
LOC100130950,0.034178652
C9orf47,0.032540977
LOC101928304,0.028879495
232559_at,0.026174214
243551_at,0.02542905
ANGPT2.1,0.025179943
TM6SF2.1,0.02297475
LOC200830,0.019989753
UTP23,0.01837961
BAGE2 /// BAGE4,0.017753534
C4orf19,0.017443437
CHST1,0.017018335
IDO1,0.01690549
NMNAT3,0.015586429
PHF7,0.0155752655
1561906_at,0.0149676595
RP11-560A15.4,0.0148574095
TRAV20 /// TRAV20 /// TRAV20,0.014790945
PLA1A,0.014751322
238181_at,0.01463729
GAS2L1.2,0.013412503
CXCL11,0.013165149
PEX13,0.012308104
TMC1,0.012217461
NOTCH1,0.011783083
216447_at,0.010642504
RUFY2.3,0.010597556
