Gene,Importance
CXCL11,0.2792274366518065
C2orf40,0.12570516518335764
SOST,0.1075977320468226
235229_at,0.08117482308442356
MRPL41.1,0.07594174275861612
FGFR2.4,0.0712063300467156
ATF3.2,0.06505590832665802
MRPL41,0.05495045840505626
RP1-93H18.6,0.05412247981321706
227244_s_at,0.04924714591592016
LOC100996760,0.04244978393349857
DANCR,0.04157509369494659
IGFBP3.1,0.03771826335178144
CCL4,0.030696633912267294
APOD,0.030316998794875906
PRF1.1,0.029344377226990837
225934_at,0.02668958106203391
C2orf74 /// KIAA1841,0.025370985680169943
GABBR1 /// UBD,0.025063846858167173
APOC1.1,0.02495566955629362
CXCL11.1,0.023163153596520273
FAM26F.1,0.022712227798516296
226014_at,0.02115099228492938
PPIB,0.01914205697950692
LINC00883,0.019042237796146447
EIF3C /// EIF3CL.1,0.017770102573175364
B2M.2,0.013831823495303654
234235_at,0.012967937158265143
PLA1A,0.012153839435949708
NDUFB10,0.008149426106790748
